core:YR,core:MO,core:DY,core:HR,core:LAT,core:LON,core:IM,core:ATTC,core:TI,core:LI,core:DS,core:VS,core:NID,core:II,core:ID,core:C1,core:DI,core:D,core:WI,core:W,core:VI,core:VV,core:WW,core:W1,core:SLP,core:A,core:PPP,core:IT,core:AT,core:WBTI,core:WBT,core:DPTI,core:DPT,core:SI,core:SST,core:N,core:NH,core:CL,core:HI,core:H,core:CM,core:CH,core:WD,core:WP,core:WH,core:SD,core:SP,core:SH,c1:ATTI,c1:ATTL,c1:BSI,c1:B10,c1:B1,c1:DCK,c1:SID,c1:PT,c1:DUPS,c1:DUPC,c1:TC,c1:PB,c1:WX,c1:SX,c1:C2,c1:SQZ,c1:SQA,c1:AQZ,c1:AQA,c1:UQZ,c1:UQA,c1:VQZ,c1:VQA,c1:PQZ,c1:PQA,c1:DQZ,c1:DQA,c1:ND,c1:SF,c1:AF,c1:UF,c1:VF,c1:PF,c1:RF,c1:ZNC,c1:WNC,c1:BNC,c1:XNC,c1:YNC,c1:PNC,c1:ANC,c1:GNC,c1:DNC,c1:SNC,c1:CNC,c1:ENC,c1:FNC,c1:TNC,c1:QCE,c1:LZ,c1:QCZ,c5:OS,c5:OP,c5:FM,c5:IMMV,c5:IX,c5:W2,c5:WMI,c5:SD2,c5:SP2,c5:SH2,c5:IS,c5:ES,c5:RS,c5:IC1,c5:IC2,c5:IC3,c5:IC4,c5:IC5,c5:IR,c5:RRR,c5:TR,c5:NU,c5:QCI,c5:QI1,c5:QI2,c5:QI3,c5:QI4,c5:QI5,c5:QI6,c5:QI7,c5:QI8,c5:QI9,c5:QI10,c5:QI11,c5:QI12,c5:QI13,c5:QI14,c5:QI15,c5:QI16,c5:QI17,c5:QI18,c5:QI19,c5:QI20,c5:QI21,c5:HDG,c5:COG,c5:SOG,c5:SLL,c5:SLHH,c5:RWD,c5:RWS,c5:QI22,c5:QI23,c5:QI24,c5:QI25,c5:QI26,c5:QI27,c5:QI28,c5:QI29,c5:RH,c5:RHI,c5:AWSI,c5:IMONO,c6:CCCC,c6:BUID,c6:FBSRC,c6:BMP,c6:BSWU,c6:SWU,c6:BSWV,c6:SWV,c6:BSAT,c6:BSRH,c6:SRH,c6:BSST,c6:MST,c6:BMSH,c6:BY,c6:BM,c6:BD,c6:BH,c6:BFL,c7:MDS,c7:C1M,c7:OPM,c7:KOV,c7:COR,c7:TOB,c7:TOT,c7:EOT,c7:LOT,c7:TOH,c7:EOH,c7:SIM,c7:LOV,c7:DOS,c7:HOP,c7:HOT,c7:HOB,c7:HOA,c7:SMF,c7:SME,c7:SMV,c8:OTV,c8:OTZ,c8:OSV,c8:OSZ,c8:OOV,c8:OOZ,c8:OPV,c8:OPZ,c8:OSIV,c8:OSIZ,c8:ONV,c8:ONZ,c8:OPHV,c8:OPHZ,c8:OCV,c8:OCZ,c8:OAV,c8:OAZ,c8:OPCV,c8:OPCZ,c8:ODV,c8:ODZ,c8:PUID,c9:CCe,c9:WWe,c9:Ne,c9:NHe,c9:He,c9:CLe,c9:CMe,c9:CHe,c9:AM,c9:AH,c9:UM,c9:UH,c9:SBI,c9:SA,c9:RI,c95:ICNR,c95:FNR,c95:DPRO,c95:DPRP,c95:UFR,c95:MFGR,c95:MFGSR,c95:MAR,c95:MASR,c95:BCR,c95:ARCR,c95:CDR,c95:ASIR,c96:ICNI,c96:FNI,c96:JVAD,c96:VAD,c96:IVAU1,c96:JVAU1,c96:VAU1,c96:IVAU2,c96:JVAU2,c96:VAU2,c96:IVAU3,c96:JVAU3,c96:VAU3,c96:VQC,c96:ARCI,c96:CDI,c96:ASII,c97:ICNE,c97:FNE,c97:CEF,c97:ERRD,c97:ARCE,c97:CDE,c97:ASIE,c98:ATTI,c98:ATTL,c98:UID,c98:RN1,c98:RN2,c98:RN3,c98:RSA,c98:IRF,c99
1899,1,3,0.0,50.5,0.5,1,3,0,1,,,,,,,3,270,5,26.8,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,65,,142,0,193,1,0,1,2,,,,,,,,,,,,,,,,,,1,15,15,5,1,15,15,1,1,10,10,10,10,10,10,10,10,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHB1,3,0,0,2,1,99 0                 0815610       59     02                    1327
1899,1,3,0.0,48.5,236.5,1,3,0,0,,,,9,10394,03,1,338,5,1.0,,97,0,,,,,,,,,,,0,1.7000000000000002,5,,,,,4,4,,,,,,,1,65,,165,83,201,91,5,1,2,,,,,,11,7,,,,,,,,,,,2,6,15,1,1,15,15,1,1,1,1,10,10,10,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHB3,3,0,0,2,1,99 0     %  1039411039499 1157 034  83  3001     00  00359999 -     6
1899,1,3,0.0,48.0,351.0,1,3,0,2,,,,,,,1,315,6,15.4,,,,,1018.6,,,,9.8,,,,,10,9.700000000000001,8,,,,,,,,,,,,,1,65,,177,89,156,4,,0,,,,,,,14,3,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHB6,3,0,0,2,1,99 0 154  7
1899,1,3,0.0,48.0,352.0,1,3,0,2,,,,,,,1,270,6,15.4,,,,,,,,,10.5,,,,,10,11.0,8,,,,,,,,,,,,,1,65,,177,88,156,4,,0,,,,,,,17,3,,,,,,,,,,,1,1,1,1,1,15,15,1,1,10,10,10,10,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHB7,3,0,0,2,1,99 0 154  7
1899,1,3,0.0,45.0,356.0,1,3,0,2,,,,,,,1,292,6,19.0,,,,,1008.4000000000001,,,,11.0,,,,,10,12.0,6,,,,,,,,,,,,,1,65,,177,54,156,4,,0,,,,,,,17,6,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHB8,3,0,0,2,1,99 0 190  7
1899,1,3,0.0,41.5,296.5,1,3,0,1,,,,,,,3,338,5,12.3,,,,,1041.0,,,0,-4.9,,,,,,1.9000000000000001,6,,,,,,,,,,,,,1,65,,171,13,193,1,0,0,,,1,,,,12,3,,,,,,,,,,,1,2,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHB4,3,0,0,2,1,99 0                     506811    85     0K                    1235
1899,1,3,0.0,41.5,297.5,1,3,0,1,,,,,,,3,338,5,6.7,,,,,1044.1000000000001,,,0,-3.0,,,,,,12.4,6,,,,,,,,,,,,,1,65,,171,12,193,1,0,0,,,1,,,,20,3,,,,,,,,,,,1,1,1,1,1,3,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHB5,3,0,0,2,1,99 0                     504834    83     0K                    1235
1899,1,3,0.0,38.5,0.5,1,3,0,1,,,,,,,3,315,5,6.7,,,,,1013.7,,,0,16.1,,,,,10,15.0,3,,,,,,,,,,,,,1,65,,214,80,193,1,0,1,2,,1,,,,19,5,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHBB,3,0,0,2,1,99 0                 1208604608    43                           1202
1899,1,3,0.0,37.0,291.0,1,3,0,2,,,,,,,1,22,6,6.7,,,,,1049.7,,,,5.9,,,,,10,19.5,5,,,,,,,,,,,,,1,65,,207,79,156,4,,0,,,,,,,19,3,,,,,,,,,,,1,1,1,1,1,5,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHB9,3,0,0,2,1,99 0 066  7
1899,1,3,0.0,35.5,305.5,1,3,0,0,,,,9,10321,03,1,45,5,4.6000000000000005,,97,0,,,,,,13.3,,,,,0,19.400000000000002,2,,,,,4,4,,,,,,,1,65,,208,54,201,91,5,1,2,,,,,,18,5,,,,,,,,,,,1,1,1,1,1,15,15,1,1,1,1,10,10,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHBA,3,0,0,2,1,99 0  J  %  103211103219901114 035  54  0403     56  00679999       3
