observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
C-RAID-1.2-1010001-1-SST|C-RAID-1.2-1010001-1|5|1980-10-23 12:28:48|5|8|-137.78000|10.15000|0|null|0|null|95|null|300.18|2|null|5|null|0|null|null|null|null|null|null|null|3|1|null|null|5|3|null|60|null|27.03000|1|null|3|null|2|0|0|0|C-RAID-1.2
C-RAID-1.2-1010001-3-SST|C-RAID-1.2-1010001-3|5|1980-10-23 14:23:57|5|8|-137.80000|10.19000|0|null|0|null|95|null|300.03|2|null|5|null|0|null|null|null|null|null|null|null|3|1|null|null|5|3|null|60|null|26.88000|1|null|3|null|2|0|0|0|C-RAID-1.2
C-RAID-1.2-1010001-5-SST|C-RAID-1.2-1010001-5|5|1980-10-23 15:36:00|5|8|-137.81000|10.19000|0|null|0|null|95|null|300.03|2|null|5|null|0|null|null|null|null|null|null|null|3|1|null|null|5|3|null|60|null|26.88000|1|null|3|null|2|0|0|0|C-RAID-1.2
C-RAID-1.2-1010001-7-SST|C-RAID-1.2-1010001-7|5|1980-10-23 17:31:09|5|8|null|null|0|null|0|null|95|null|299.88|2|null|5|null|0|null|null|null|null|null|null|null|3|5|null|null|5|3|null|60|null|26.73000|1|null|3|null|2|0|0|0|C-RAID-1.2
C-RAID-1.2-1010001-9-SST|C-RAID-1.2-1010001-9|5|1980-10-24 01:26:23|5|8|null|null|0|null|0|null|95|null|279.45|2|null|5|null|0|null|null|null|null|null|null|null|3|5|null|null|5|3|null|60|null|6.30000|1|null|3|null|2|0|0|0|C-RAID-1.2
