observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
DWD_MAROBSHIP-432189575-SST|DWD_MAROBSHIP-432189575|1|2026-02-12 07:00:00|2|8|113.1|16.2|0|null|0|null|95|null|300.15|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|27.0|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432198118-SST|DWD_MAROBSHIP-432198118|1|2026-02-12 08:00:00|2|8|61.2|-29.1|0|null|0|null|95|null|297.15|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|24.0|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432231577-SST|DWD_MAROBSHIP-432231577|1|2026-02-12 08:00:00|2|8|-85.6|21.5|0|null|0|null|95|null|295.15|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|22.0|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432204028-SST|DWD_MAROBSHIP-432204028|1|2026-02-12 09:00:00|2|8|-33.8|-5.0|0|null|0|null|95|null|301.25|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|28.1|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432207124-SST|DWD_MAROBSHIP-432207124|1|2026-02-12 10:00:00|2|8|12.1|54.2|0|null|0|-2.0|95|null|273.71|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|60|null|0.6|1|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432176947-SST|DWD_MAROBSHIP-432176947|1|2026-02-12 06:00:00|2|8|-52.8|48.6|0|null|0|null|95|null|274.85|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|60|null|1.7|1|null|3|null|2|0|0|0|10384
