observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
DWD_MAROBSHIP-432189575-WBT|DWD_MAROBSHIP-432189575|1|2026-02-12 07:00:00|2|8|113.1|16.2|0|null|0|null|41|null|296.15|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|23.0|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432231577-WBT|DWD_MAROBSHIP-432231577|1|2026-02-12 08:00:00|2|8|-85.6|21.5|0|null|0|null|41|null|292.35|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|19.2|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432204028-WBT|DWD_MAROBSHIP-432204028|1|2026-02-12 09:00:00|2|8|-33.8|-5.0|0|null|0|null|41|null|296.65|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|23.5|1|null|3|null|2|0|0|0|10256
