observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
DWD_MAROBSHIP-432158582-SLP|DWD_MAROBSHIP-432158582|1|2026-02-12 03:00:00|2|8|56.0|-21.9|0|null|0|50.0|58|null|101270|2|null|32|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|530|null|1012.7|7|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432207124-SLP|DWD_MAROBSHIP-432207124|1|2026-02-12 10:00:00|2|8|12.1|54.2|0|null|0|6.0|58|null|98010|2|null|32|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|530|null|980.1|7|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432214042-SLP|DWD_MAROBSHIP-432214042|1|2026-02-12 11:00:00|2|8|-47.0|-25.9|0|null|0|44.0|58|null|100850|2|null|32|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|530|null|1008.5|7|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432228524-SLP|DWD_MAROBSHIP-432228524|1|2026-02-12 13:00:00|2|8|-62.7|34.9|0|null|0|55.0|58|null|100270|2|null|32|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|530|null|1002.7|7|null|3|null|2|0|0|0|10384
