core:YR,core:MO,core:DY,core:HR,core:LAT,core:LON,core:IM,core:ATTC,core:TI,core:LI,core:DS,core:VS,core:NID,core:II,core:ID,core:C1,core:DI,core:D,core:WI,core:W,core:VI,core:VV,core:WW,core:W1,core:SLP,core:A,core:PPP,core:IT,core:AT,core:WBTI,core:WBT,core:DPTI,core:DPT,core:SI,core:SST,core:N,core:NH,core:CL,core:HI,core:H,core:CM,core:CH,core:WD,core:WP,core:WH,core:SD,core:SP,core:SH,c1:ATTI,c1:ATTL,c1:BSI,c1:B10,c1:B1,c1:DCK,c1:SID,c1:PT,c1:DUPS,c1:DUPC,c1:TC,c1:PB,c1:WX,c1:SX,c1:C2,c1:SQZ,c1:SQA,c1:AQZ,c1:AQA,c1:UQZ,c1:UQA,c1:VQZ,c1:VQA,c1:PQZ,c1:PQA,c1:DQZ,c1:DQA,c1:ND,c1:SF,c1:AF,c1:UF,c1:VF,c1:PF,c1:RF,c1:ZNC,c1:WNC,c1:BNC,c1:XNC,c1:YNC,c1:PNC,c1:ANC,c1:GNC,c1:DNC,c1:SNC,c1:CNC,c1:ENC,c1:FNC,c1:TNC,c1:QCE,c1:LZ,c1:QCZ,c5:OS,c5:OP,c5:FM,c5:IMMV,c5:IX,c5:W2,c5:WMI,c5:SD2,c5:SP2,c5:SH2,c5:IS,c5:ES,c5:RS,c5:IC1,c5:IC2,c5:IC3,c5:IC4,c5:IC5,c5:IR,c5:RRR,c5:TR,c5:NU,c5:QCI,c5:QI1,c5:QI2,c5:QI3,c5:QI4,c5:QI5,c5:QI6,c5:QI7,c5:QI8,c5:QI9,c5:QI10,c5:QI11,c5:QI12,c5:QI13,c5:QI14,c5:QI15,c5:QI16,c5:QI17,c5:QI18,c5:QI19,c5:QI20,c5:QI21,c5:HDG,c5:COG,c5:SOG,c5:SLL,c5:SLHH,c5:RWD,c5:RWS,c5:QI22,c5:QI23,c5:QI24,c5:QI25,c5:QI26,c5:QI27,c5:QI28,c5:QI29,c5:RH,c5:RHI,c5:AWSI,c5:IMONO,c6:CCCC,c6:BUID,c6:FBSRC,c6:BMP,c6:BSWU,c6:SWU,c6:BSWV,c6:SWV,c6:BSAT,c6:BSRH,c6:SRH,c6:BSST,c6:MST,c6:BMSH,c6:BY,c6:BM,c6:BD,c6:BH,c6:BFL,c7:MDS,c7:C1M,c7:OPM,c7:KOV,c7:COR,c7:TOB,c7:TOT,c7:EOT,c7:LOT,c7:TOH,c7:EOH,c7:SIM,c7:LOV,c7:DOS,c7:HOP,c7:HOT,c7:HOB,c7:HOA,c7:SMF,c7:SME,c7:SMV,c8:OTV,c8:OTZ,c8:OSV,c8:OSZ,c8:OOV,c8:OOZ,c8:OPV,c8:OPZ,c8:OSIV,c8:OSIZ,c8:ONV,c8:ONZ,c8:OPHV,c8:OPHZ,c8:OCV,c8:OCZ,c8:OAV,c8:OAZ,c8:OPCV,c8:OPCZ,c8:ODV,c8:ODZ,c8:PUID,c9:CCe,c9:WWe,c9:Ne,c9:NHe,c9:He,c9:CLe,c9:CMe,c9:CHe,c9:AM,c9:AH,c9:UM,c9:UH,c9:SBI,c9:SA,c9:RI,c95:ICNR,c95:FNR,c95:DPRO,c95:DPRP,c95:UFR,c95:MFGR,c95:MFGSR,c95:MAR,c95:MASR,c95:BCR,c95:ARCR,c95:CDR,c95:ASIR,c96:ICNI,c96:FNI,c96:JVAD,c96:VAD,c96:IVAU1,c96:JVAU1,c96:VAU1,c96:IVAU2,c96:JVAU2,c96:VAU2,c96:IVAU3,c96:JVAU3,c96:VAU3,c96:VQC,c96:ARCI,c96:CDI,c96:ASII,c97:ICNE,c97:FNE,c97:CEF,c97:ERRD,c97:ARCE,c97:CDE,c97:ASIE,c98:ATTI,c98:ATTL,c98:UID,c98:RN1,c98:RN2,c98:RN3,c98:RSA,c98:IRF,c99_sentinel:ATTI,c99_sentinel:ATTL,c99_sentinel:BLK,c99_journal:sentinel,c99_journal:reel_no,c99_journal:journal_no,c99_journal:frame_no,c99_journal:ship_name,c99_journal:journal_ed,c99_journal:rig,c99_journal:ship_material,c99_journal:vessel_type,c99_journal:vessel_length,c99_journal:vessel_beam,c99_journal:commander,c99_journal:country,c99_journal:screw_paddle,c99_journal:hold_depth,c99_journal:tonnage,c99_journal:baro_type,c99_journal:baro_height,c99_journal:baro_cdate,c99_journal:baro_loc,c99_journal:baro_units,c99_journal:baro_cor,c99_journal:thermo_mount,c99_journal:SST_I,c99_voyage:sentinel,c99_voyage:reel_no,c99_voyage:journal_no,c99_voyage:frame_start,c99_voyage:from_city,c99_voyage:to_city,c99_daily:sentinel,c99_daily:reel_no,c99_daily:journal_no,c99_daily:frame_start,c99_daily:frame,c99_daily:year,c99_daily:month,c99_daily:day,c99_daily:distance,c99_daily:lat_deg_an,c99_daily:lat_min_an,c99_daily:lat_hemis_an,c99_daily:lon_deg_an,c99_daily:lon_min_an,c99_daily:lon_hemis_an,c99_daily:lat_deg_on,c99_daily:lat_min_on,c99_daily:lat_hemis_on,c99_daily:lon_deg_of,c99_daily:lon_min_of,c99_daily:lon_hemis_of,c99_daily:current_speed,c99_daily:current_direction,c99_data4:sentinel,c99_data4:reel_no,c99_data4:journal_no,c99_data4:frame_start,c99_data4:frame,c99_data4:year,c99_data4:month,c99_data4:day,c99_data4:time_ind,c99_data4:hour,c99_data4:ship_speed,c99_data4:compass_ind,c99_data4:ship_course_compass,c99_data4:compass_correction,c99_data4:ship_course_true,c99_data4:wind_dir_mag,c99_data4:wind_dir_true,c99_data4:wind_force,c99_data4:barometer,c99_data4:temp_ind,c99_data4:attached_thermometer,c99_data4:air_temperature,c99_data4:wet_bulb_temperature,c99_data4:sea_temperature,c99_data4:present_weather,c99_data4:clouds,c99_data4:sky_clear,c99_data4:sea_state,c99_data5:sentinel,c99_data5:reel_no,c99_data5:journal_no,c99_data5:frame_start,c99_data5:frame,c99_data5:year,c99_data5:month,c99_data5:day,c99_data5:time_ind,c99_data5:hour,c99_data5:ship_speed,c99_data5:compass_ind,c99_data5:ship_course_compass,c99_data5:blank,c99_data5:ship_course_true,c99_data5:wind_dir_mag,c99_data5:wind_dir_true,c99_data5:wind_force,c99_data5:barometer,c99_data5:temp_ind,c99_data5:attached_thermometer,c99_data5:air_temperature,c99_data5:wet_bulb_temperature,c99_data5:sea_temperature,c99_data5:present_weather,c99_data5:clouds,c99_data5:sky_clear,c99_data5:sea_state,c99_data5:compass_correction_ind,c99_data5:compass_correction,c99_data5:compass_correction_dir
1878,10,20,6.0,42.28,291.59000000000003,1,3,0,6,2,3,,10,Panay,,1,232,5,12.3,,,,,996.1,,,,,,,,,,,4,,,,,,,,,,,,,1,65,,171,28,704,125,5,0,,,1,,,,,,,,,,,,,,,,1,15,15,1,1,1,15,1,1,10,10,10,1,10,10,10,10,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,020N16,3,0,0,2,1,99,0,,1,002,0018,0003,Panay,78,01,1,1,187,37,"S.P.Bray,Jr",01,3,23,1190,2,14,,Bulkhead of cabin,1,- .102,2,,2,002,0018,0014,Boston,Rio de Janeiro,3,002,0018,0014,0015,1878,10,20,,,,,,,,42,20,N,66,30,W,0.1,E,4,002,0018,0014,0015,1878,10,20,1,2,8.5,,EXS,,,WSW,,06,2960,1,5.800000000000001,,,,BOC,CU,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,10,20,8.0,42.31,291.97,1,3,0,6,2,3,,10,Panay,,1,232,5,12.3,,,,,996.3000000000001,,,,,,,,,,,6,,,,,,,,,,,,,1,65,,171,28,704,125,5,0,,,1,,,,,,,,,,,,,,,,1,15,15,1,1,1,15,1,1,10,10,10,1,10,10,10,10,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,020N1P,3,0,0,2,1,99,0,,1,002,0018,0003,Panay,78,01,1,1,187,37,"S.P.Bray,Jr",01,3,23,1190,2,14,,Bulkhead of cabin,1,- .102,2,,2,002,0018,0014,Boston,Rio de Janeiro,3,002,0018,0014,0015,1878,10,20,,,,,,,,42,20,N,66,30,W,0.1,E,4,002,0018,0014,0015,1878,10,20,1,4,8.5,,EXS,,,WSW,,06,2960,1,5.6000000000000005,,,,BOC,SC,3,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,10,20,10.0,42.33,292.36,1,3,0,6,2,3,,10,Panay,,1,254,5,12.3,,,,,996.9000000000001,,,7,8.9,,,,,1,11.100000000000001,8,,,,,,,,,,,,,1,65,,171,27,704,125,5,0,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,020N25,3,0,0,2,1,99,0,,1,002,0018,0003,Panay,78,01,1,1,187,37,"S.P.Bray,Jr",01,3,23,1190,2,14,,Bulkhead of cabin,1,- .102,2,,2,002,0018,0014,Boston,Rio de Janeiro,3,002,0018,0014,0015,1878,10,20,,,,,,,,42,20,N,66,30,W,0.1,E,4,002,0018,0014,0015,1878,10,20,1,6,8.5,,EXS,,,W,,06,2962,1,5.6000000000000005,4.800000000000001,,5.2,OCG,SC,0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,10,20,12.0,42.35,292.71,1,3,0,6,2,3,,10,Panay,,1,254,5,12.3,,,,,997.6,,,7,8.9,,,,,1,11.100000000000001,8,,,,,,,,,,,,,1,65,,171,27,704,125,5,0,,,1,,,,,,,,,,,,,,,,2,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,020N2Q,3,0,0,2,1,99,0,,1,002,0018,0003,Panay,78,01,1,1,187,37,"S.P.Bray,Jr",01,3,23,1190,2,14,,Bulkhead of cabin,1,- .102,2,,2,002,0018,0014,Boston,Rio de Janeiro,3,002,0018,0014,0015,1878,10,20,,,,,,,,42,20,N,66,30,W,0.1,E,4,002,0018,0014,0015,1878,10,20,1,8,8.0,,EXS,,,W,,06,2964,1,5.6000000000000005,4.800000000000001,,5.2,CG,SC,0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,10,20,14.0,42.37,293.1,1,3,0,6,2,3,,10,Panay,,1,254,5,12.3,,,,,999.2,,,7,8.9,,,,,1,10.0,6,,,,,,,,,,,,,1,65,,171,26,704,125,5,0,,,1,,,,,,,,,,,,,,,,2,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,020N3A,3,0,0,2,1,99,0,,1,002,0018,0003,Panay,78,01,1,1,187,37,"S.P.Bray,Jr",01,3,23,1190,2,14,,Bulkhead of cabin,1,- .102,2,,2,002,0018,0014,Boston,Rio de Janeiro,3,002,0018,0014,0015,1878,10,20,,,,,,,,42,20,N,66,30,W,0.1,E,4,002,0018,0014,0015,1878,10,20,1,10,8.5,,EXS,,,W,,06,2969,1,5.7,4.800000000000001,,5.0,BC,SC,2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
