report_id|region|sub_region|application_area|observing_programme|report_type|station_name|station_type|platform_type|platform_sub_type|primary_station_id|station_record_number|primary_station_id_scheme|longitude|latitude|location_accuracy|location_method|location_quality|crs|station_speed|station_course|station_heading|height_of_station_above_local_ground|height_of_station_above_sea_level|height_of_station_above_sea_level_accuracy|sea_level_datum|report_meaning_of_timestamp|report_timestamp|report_duration|report_time_accuracy|report_time_quality|report_time_reference|profile_id|events_at_station|report_quality|duplicate_status|duplicates|record_timestamp|history|processing_level|processing_codes|source_id|source_record_id
gdac_4deae853cda55815b458353bdfe3ec51|0|null|{11}|{56}|0|ATIU|2|2|null|ATIU|null|5|88.5|20.3|null|null|3|0|6.7|135|null|0.0|0.0|null|null|2|2001-07-23 00:00:00|11|null|2|null|null|null|1|4||2024-03-22 12:50:10|2024-03-22 12:50:10|null|null|null|[0, 5]
gdac_340ed04354fc5f698fcc23b8810d0af1|0|null|{11}|{56}|0|ATIU|2|2|null|ATIU|null|5|89.4|19.2|null|null|3|0|6.7|135|null|0.0|0.0|null|null|2|2001-07-23 06:00:00|11|null|2|null|null|null|1|4||2024-03-22 12:50:10|2024-03-22 12:50:10|null|null|null|[0, 5]
gdac_8f89a30ac6a05887b473857396f8f6d5|0|null|{11}|{56}|0|ATIU|2|2|null|ATIU|null|5|90.1|18.1|null|null|3|0|6.7|135|null|0.0|0.0|null|null|2|2001-07-23 12:00:00|11|null|2|null|null|null|1|4||2024-03-22 12:50:10|2024-03-22 12:50:10|null|null|null|[0, 5]
gdac_1eacba75111450ddbaddcee22137d32b|0|null|{11}|{56}|0|ATIU|2|2|null|ATIU|null|5|90.8|17.0|null|null|3|0|6.7|135|null|0.0|0.0|null|null|2|2001-07-23 18:00:00|11|null|2|null|null|null|1|4||2024-03-22 12:50:10|2024-03-22 12:50:10|null|null|null|[0, 5]
gdac_4e33204234f95bab83f1f722b13eebab|0|null|{11}|{56}|0|ATIU|2|2|null|ATIU|null|5|91.7|15.8|null|null|3|0|6.7|135|null|0.0|0.0|null|null|2|2001-07-24 00:00:00|11|null|2|null|null|null|1|4||2024-03-22 12:50:10|2024-03-22 12:50:10|null|null|null|[0, 5]
